,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00,02:30,1,13,1,13,2,14,2,14,3,15,3,15,4,16,4,16,1,13,1,13,2,14,2,14,3,15,3,15,4,16,4
02:00,04:30,2,14,2,14,3,15,3,15,4,16,4,16,5,1,5,1,2,14,2,14,3,15,3,15,4,16,4,16,5,1,5
04:00,06:30,3,15,3,15,4,16,4,16,5,1,5,1,6,2,6,2,3,15,3,15,4,16,4,16,5,1,5,1,6,2,6
06:00,08:30,4,16,4,16,5,1,5,1,6,2,6,2,7,3,7,3,4,16,4,16,5,1,5,1,6,2,6,2,7,3,7
08:00,10:30,5,1,5,1,6,2,6,2,7,3,7,3,8,4,8,4,5,1,5,1,6,2,6,2,7,3,7,3,8,4,8
10:00,12:30,6,2,6,2,7,3,7,3,8,4,8,4,9,5,9,5,6,2,6,2,7,3,7,3,8,4,8,4,9,5,9
12:00,14:30,7,3,7,3,8,4,8,4,9,5,9,5,10,6,10,6,7,3,7,3,8,4,8,4,9,5,9,5,10,6,10
14:00,16:30,8,4,8,4,9,5,9,5,10,6,10,6,11,7,11,7,8,4,8,4,9,5,9,5,10,6,10,6,11,7,11
16:00,18:30,9,5,9,5,10,6,10,6,11,7,11,7,12,8,12,8,9,5,9,5,10,6,10,6,11,7,11,7,12,8,12
18:00,20:30,10,6,10,6,11,7,11,7,12,8,12,8,13,9,13,9,10,6,10,6,11,7,11,7,12,8,12,8,13,9,13
20:00,22:30,11,7,11,7,12,8,12,8,13,9,13,9,14,10,14,10,11,7,11,7,12,8,12,8,13,9,13,9,14,10,14
22:00,00:30,12,8,12,8,13,9,13,9,14,10,14,10,15,11,15,11,12,8,12,8,13,9,13,9,14,10,14,10,15,11,15
00:00,02:30,9,5,9,5,10,6,10,6,11,7,11,7,12,8,12,8,9,5,9,5,10,6,10,6,11,7,11,7,12,8,12
02:00,04:30,10,6,10,6,11,7,11,7,12,8,12,8,13,9,13,9,10,6,10,6,11,7,11,7,12,8,12,8,13,9,13
04:00,06:30,11,7,11,7,12,8,12,8,13,9,13,9,14,10,14,10,11,7,11,7,12,8,12,8,13,9,13,9,14,10,14
06:00,08:30,12,8,12,8,13,9,13,9,14,10,14,10,15,11,15,11,12,8,12,8,13,9,13,9,14,10,14,10,15,11,15
08:00,10:30,13,9,13,9,14,10,14,10,15,11,15,11,16,12,16,12,13,9,13,9,14,10,14,10,15,11,15,11,16,12,16
10:00,12:30,14,10,14,10,15,11,15,11,16,12,16,12,1,13,1,13,14,10,14,10,15,11,15,11,16,12,16,12,1,13,1
12:00,14:30,15,11,15,11,16,12,16,12,1,13,1,13,2,14,2,14,15,11,15,11,16,12,16,12,1,13,1,13,2,14,2
14:00,16:30,16,12,16,12,1,13,1,13,2,14,2,14,3,15,3,15,16,12,16,12,1,13,1,13,2,14,2,14,3,15,3
16:00,18:30,1,13,1,13,2,14,2,14,3,15,3,15,4,16,4,16,1,13,1,13,2,14,2,14,3,15,3,15,4,16,4
18:00,20:30,2,14,2,14,3,15,3,15,4,16,4,16,5,1,5,1,2,14,2,14,3,15,3,15,4,16,4,16,5,1,5
20:00,22:30,3,15,3,15,4,16,4,16,5,1,5,1,6,2,6,2,3,15,3,15,4,16,4,16,5,1,5,1,6,2,6
22:00,00:30,4,16,4,16,5,1,5,1,6,2,6,2,7,3,7,3,4,16,4,16,5,1,5,1,6,2,6,2,7,3,7
